Year,MasterGameID,GameName,EligiblePercentStandardGame,EligiblePercentCounterPick,DateAdjustedHypeFactor,AverageDraftPosition,TotalBidAmount,BidPercentile,CriticScore
2019,ec744f07-048c-4ebb-848f-5c0e099997a3,Munchkin: Quacked Quest,0.0016,0,0.16160000000000002,,10,77,52.2500
2019,ed501786-9431-4dfe-9ad5-91c47637f939,Black Future '88,0.0033,0,0.264,21,2,72.6,74.0556
2019,ed9e783c-0810-4b95-a1fc-d4cb6aacd1bd,Far Cry New Dawn,0.4168,0.0986,33.38951456,20.8908,314,95,73.4271
2019,edcc6cb5-296c-4fa5-b3a0-804f985165d1,Warhammer: Chaosbane,0.0209,0.0035,1.7973999999999999,15,114,91.2,67.3878
2019,edd5fc9f-e71b-4164-818e-15d2442ddb99,Zanki Zero: Last Beginning,0.0216,0,1.0476,52.5,33,84.5,74.2500
2019,ee6c8a3b-0f77-4df0-b23a-06f9b667e57c,Castlevania Anniversary Collection,0.0204,0,1.0812000000000002,48,0,70.3,78.5769
2019,ef1e7374-47fd-4a68-bc83-482034f7675d,The Occupation,0.04,0.0057,2.24,45,94,90.2,66.9250
2019,ef34c9d5-b2dc-40cf-b9e8-7b701ed3c052,Animal Crossing: New Horizons,0.8049,0.0553,71.39833254,12.2954,390,95.9,70
2019,efe2876e-0ded-459f-b56f-4078b4c2a892,River City Girls,0.0455,0.0016,3.1144,33,459,96.7,78.4516
2019,f0cc8c78-610b-4fc9-b179-793331405a43,Concrete Genie,0.1154,0.0146,8.172729460000001,30.6667,579,97.8,77.1692
2019,f0da9cea-a525-4f88-98a9-b56b0aefea32,Kingdom Hearts III Re:Mind,0.0136,0,0.9792,29,130,92,70
2019,f116df75-c6b1-4d9f-b332-db4fa745e1a5,Rebel Galaxy Outlaw,0.0114,0,0.9276670499999999,20.3333,130,92,75.5333
2019,f1562e59-f30b-4ec2-8c4f-11688aca162e,EarthNight,0.0016,0,0.16160000000000002,,11,77.9,72.7778
2019,f1e8836e-bdb7-4785-a076-7c5bf7bd1b45,Chernobylite,0.0098,0,0.6859999999999999,31,32,84.4,70
2019,f278c421-e956-43bb-9163-b6e054aa55e7,DARQ,0.0049,0,0.3528,29,20,81.3,72.5000
2019,f41c1ad4-9837-4693-b73d-fd5c44bcd4c2,Beyond Good and Evil 2,0.0553,0.0228,4.02031,28.3,95,90.3,70
2019,f4bcdd93-6184-4bd3-990f-485113750a4a,The Sinking City,0.2033,0.0423,15.00849438,27.6447,424,96.3,68.7857
2019,f4ca2d38-5cde-47c5-9829-22a48db0b040,Ghost of Tsushima,0.5398,0.1463,44.606426979999995,18.3649,225,93.9,70
2019,f501f697-334d-458c-8431-6c20ebad7fa6,Ooblets,0.1236,0.0146,9.20033904,26.5636,174,93,70
2019,f545fc23-359c-443e-9cff-66ef70dc116e,Arise: A Simple Story,0.0179,0,1.8078999999999998,,391,96,81.1000
2019,f5a65007-88fe-46f2-a88f-8bf77dc6e48d,Gears 5,0.6472,0.0797,53.34425338,19.1083,1253,99,84.4941
2019,f5e8916e-595b-4096-aec3-d8770de82d89,Creature in the Well,0.0374,0.0016,2.8952,24,437,96.5,76.5185
2019,f5f695c4-7ab4-4e4b-bfdb-1c30c7cd9705,Just Dance 2020,0.0487,0.0057,2.8733,42,46,86.5,74.5333
2019,f5f8e081-5aa6-47c6-8707-6f61576f4569,Trover Saves the Universe,0.0139,0.0017,1.011225,28.25,59,88.2,75.9394
2019,f628c2d7-b5cf-43dd-88c1-74078d15c77b,In the Valley of Gods,0.3366,0.0585,25.660701,24.765,260,94.6,70
2019,f733e8ed-ad4f-410f-9265-5111ad9db33a,Trails of Cold Steel III,0.1187,0.0033,8.746814449999999,27.8049,176,93,83.6429
2019,f75e6a0f-d755-454c-808d-70c064db87c8,Stormdivers,0.0033,0.0016,0.1782,47,0,70.3,70
2019,f8f8db03-aa9d-4736-8c43-62a7173a16dd,Cat Quest II,0.0033,0,0.3333,,30,83.7,76.8000
2019,fa6866d4-ea94-48d8-b022-a5a92fa132d7,Resident Evil 4 (Switch),0.0784,0.0196,6.859999999999999,13.5,0,70.3,70
2019,fb33b2ab-f6a2-4d2f-a4a7-7b877f93d947,Kill la Kill the Game: IF,0.0293,0.0065,1.99125,33.5,107,90.9,66.7353
2019,fcb40c1e-a094-4f27-8ed7-3b53a5586af5,Children of Morta,0.0195,0,1.3589326800000001,31.6667,124,91.6,82.5167
2019,fe7b4497-fbb5-4bd8-95d7-26e17124cae5,Super Crate Box (Switch),0.0392,0,0.3528,92,10,77,70
2019,ff7e7e8a-896c-458e-8364-1e9dc1d8495d,Bendy and the Dark Revival,0.0016,0,0.16160000000000002,,10,77,70
2020,0218aba0-71b9-4f59-a4ba-2be14906c4b3,Sable,0.1472,0.0242,9.45717312,36.7529,408,93,70
2020,02df2e6b-f651-446a-99e0-2f4ccca89dc5,Yakuza Remastered Collection,0.0714,0,4.0656,59,16,71.8,83.9286
2020,0a0f1c62-a6fe-4aef-9f34-38f44cdd1991,Fury Unleashed,0.007,0,0.7575,,0,61.3,76.0000
2020,0a990046-d464-4844-a5b1-5434d5b57a9d,The Suicide of Rachel Foster,0.0091,0.003,0.6262,39,2,64.2,70.4545
2020,0bbb6f19-91ed-4f77-b34c-35437a2b6d1a,Panzer Dragoon: Remake,0.0274,0.0071,1.7948800000000003,37.8,44,78.8,62.6316
2020,0d3816cd-3b24-44a3-a7b4-7bc8f5a7d19a,Bayonetta & Vanquish 10th Anniversary Bundle,0.0864,0,5.35080294,40.3333,95,83.7,85.3143
2020,0d412f63-72a5-4c4f-8307-0a84bc5ce0f0,Garden Story,0.0141,0.001,0.61335,57.5,20,73.6,70
2020,0d754002-e480-435a-8d7c-65318601419a,Lair of the Clockwork God,0.001,0,0.1111,,10,69.2,84.6000
2020,0e3c52d7-78b2-489a-abf5-b2a6acce2c77,Solar Ash,0.003,0.001,0.1910001,37.3333,2,64.2,70
2020,0e5b53e5-7949-402b-955d-20a379f77cac,SnowRunner,0.0091,0,0.8383,,15,71.4,79.9677
2020,0ff56e1f-76cd-4b2e-94ec-11ebe69648a8,Skater XL,0.0222,0,1.8592,18,182,88.5,60.6800
2020,1170866e-5aab-4db0-bfb5-09de1a4d544d,Mount & Blade II: Bannerlord,0.1895,0.0635,13.694842849999999,28.7317,631,96,70
2020,11aca21b-2cba-48d4-bc0f-ef35512a7d9a,Backbone,0.0141,0.002,0.86245047,39.8333,50,79.8,70
2020,129c3292-9e7f-4730-889a-1f1149da82a4,Fire Emblem: Three Houses – Cindered Shadows,0.1916,0.0093,15.014399999999998,32,299,91.4,77.5000
2020,13ec9f9f-b5f4-44c0-8b03-9b26978d83aa,Trackmania,0.0223,0,2.2927,,58,80.9,73.9231
2020,18e8faeb-51ae-4fa8-ae79-73197a4b75e0,"Roundguard ",0.006,0,0.6363,,11,70,75.0000
2020,1a47f5d2-91dc-4332-92a2-37da3c748ec0,Temtem,0.0343,0.0121,2.4796053099999997,28.7083,144,87,70
2020,1d2049bf-4f4e-48e3-a690-ff0dcfad308d,Beyond a Steel Sky,0.0232,0.003,1.49800105,41.6154,23,74.8,71.1500
2020,1ea152e8-1923-4bf3-a38a-15162c9642e1,Those Who Remain,0.002,0,0.21209999999999998,,1,63.1,50.9375
2020,1ed2fbb4-3822-4d1b-89f2-f1bf2a1c7284,Exit The Gungeon,0.0769,0,0.1111,,5,66.5,67.2632
2020,1ee05e1c-9518-4b38-9d30-e852130c4f9c,Skull & Bones,0.0585,0.0423,4.1952865500000005,29.2857,186,88.6,70
2020,1fc46f4b-445d-43ef-b61b-3eccfd994b36,SkateBIRD,0.1169,0.0554,8.006223819999999,32.5122,251,90.6,70
2020,20d358b0-c3bc-49ba-aba2-a2b05249ab78,Dragon Ball Z Kakarot,0.1673,0.0948,38.69509373999999,25,247,90.4,73.1628
2020,218b29e3-f031-40c6-8951-5e0ab1a66750,Creaks,0.006,0,0.32330000000000003,48,1,63.1,80.2143
2020,22cc9330-e921-48e5-8888-c0ede4bf9d13,A Space for the Unbound,0.002,0,0.202,,5,66.5,70
2020,22ee7809-063c-4518-9a36-a061f7ec6c9b,Radical Rabbit Stew,0.001,0,0.101,,0,61.3,74.0000
2020,24c20f04-38b1-46f5-8b6d-6900419e9476,Under Night In-Birth EXE:Late[cl-r],0.0565,0.005,4.25155038,32.6471,134,86.5,80.1538
2020,26c31967-0469-4d48-8459-678f2ed82d7b,Disintegration,0.0585,0.003,3.7552687700000003,38.3077,298,91.3,62.7344
2020,26c5f178-7489-4769-aa25-a5be93f080ce,WRATH: Aeon of Ruin,0.0141,0,0.89535,37.5,1,63.1,70
2020,2bd3d7d4-0784-45a0-afef-07ddcf86a931,Fairy Tail,0.0171,0.005,0.98857217,43.8571,15,71.4,72.0526
2020,2ddbc26c-058e-463a-b6dc-ea60b7c7d09d,The Last of Us Part II,0.9959,0.0289,98.11427538000001,2.4813,115,85.2,93.5773
2020,2e517417-89ee-4d3b-aff8-a75009ebb2d2,Bloodroots,0.0464,0.002,3.2398016699999994,36.3333,101,84.2,78.0294
2020,2fe9ce18-7662-4961-889a-65a0f639e0dc,Street Fighter V: Championship Edition,0.028,0,2.5599749999999997,26.3333,76,82.5,79.4000
2020,3108f832-9955-4d66-a888-5cccfad0b089,Shin Megami Tensei V,0.0645,0.0171,4.170473250000001,36.3415,175,88.3,70
2020,322bf891-2d3c-462d-9447-2c16b00600aa,Shantae and the Seven Sirens (Console/PC),1.4858,0.0972,27.135203630000003,29.6479,759,96.7,74.8710
2020,34405ce7-5617-4976-8c61-e051d745a0f3,Rune Factory 4 Special,0.0341,0,3.9895,,3,64.8,83.0385
2020,3487b6e1-e9e1-49b7-949b-72f947bdb121,Doom Eternal,0.9937,0.0359,94.66090029,5.936,52,80.1,89.0259
2020,35d3596f-b328-418a-85cb-e85cef02318c,F1 2020,0.1606,0.0085,10.1367,38,75,82.3,87.7642
2020,36bba330-5ff0-44c5-83b1-ac2f4c06ebe4,Nioh 2,0.9103,0.0413,84.6947738,13.2165,180,88.4,85.4058
2020,3781d973-ab04-4e50-a1cf-88eaa4b4a30b,West of Dead,0.0141,0,0.13,36,0,61.3,72.0370
2020,37b29d48-a4d0-401b-8bb4-854e2bdcedbb,Kentucky Route Zero TV Edition,0.3077,0,0.32109981000000004,44.6667,5,66.5,85.6471
2020,37c09187-785a-46bb-82bf-0b7d5f9ee351,Mobile Suit Gundam EXTREME VS. Maxi Boost ON,0.0283,0.004,2.3534,19,8,67.9,79.5333
2020,39789cc6-652c-4de4-9c3d-342d143e1019,Langrisser I & II,0.0092,0.0023,0.5271750000000001,47.75,21,74.1,74.5556
2020,3ac0c173-1523-4bf1-9562-a277c42340f0,Summer in Mara,0.0222,0.002,1.3364625,42.125,48,79.5,59.2222
2020,3b7806db-7f38-4422-a274-d6a1c79d63f2,Orcs Must Die! 3,0.006,0,0.3599,42,27,75.6,75.8571
2020,3bcb4866-8334-4dbc-8412-fd77e5db1d6e,Streets of Rage 4,0.3417,0.0706,25.14170868,29.7972,501,94.6,84.5375
2020,3c264ef4-809b-48d9-83be-46a03b0cfbf9,Destroy All Humans!,0.2076,0.0473,14.815644409999999,30.5361,431,93.5,70.0000
2020,3d075e9b-29de-4bc6-94e5-565cbc7d187b,"Yes, Your Grace",0.0081,0,0.504,41,15,71.4,74.1875
2020,3dd12056-f932-4e15-bd75-5a6d0517d425,Desperados III,0.0827,0.0091,5.42615832,36.0938,164,88,85.5246
2020,3eec6955-73bc-4be2-9cd4-f7fa0bd72d6d,Rock of Ages 3: Make & Break,0.0121,0,0.5856,53,19,72.9,70.5000
